Benchmark                                                                  (setSize)  Mode  Cnt         Score   Error  Units
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForRBTreeSet              1000    ss    2     11460,000          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForRBTreeSet             10000    ss    2     73277,300          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForSet                     100    ss    2      2671,550          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForSet                    1000    ss    2     12156,950          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateForSet                   10000    ss    2     94819,150          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateIndexArrayList             100    ss    2      1599,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateIndexArrayList            1000    ss    2      7618,300          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateIndexArrayList           10000    ss    2     34307,700          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamAVLTreeSet           100    ss    2      3705,300          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamAVLTreeSet          1000    ss    2     11927,700          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamAVLTreeSet         10000    ss    2     70884,250          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamArrayList            100    ss    2      2292,750          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamArrayList           1000    ss    2      9105,550          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamArrayList          10000    ss    2     32605,200          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamArraySet             100    ss    2      2894,250          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamArraySet            1000    ss    2      8309,100          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamArraySet           10000    ss    2     32713,800          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamLinkedSet            100    ss    2      3056,100          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamLinkedSet           1000    ss    2      9214,450          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamLinkedSet          10000    ss    2     41624,950          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamRBTreeSet            100    ss    2      3875,650          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamRBTreeSet           1000    ss    2     11983,150          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamRBTreeSet          10000    ss    2     68638,800          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamSet                  100    ss    2      3507,600          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamSet                 1000    ss    2     10576,700          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.iterateStreamSet                10000    ss    2    109702,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.lastIndexOfArrayList              100    ss    2      7508,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.lastIndexOfArrayList             1000    ss    2     39167,450          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.lastIndexOfArrayList            10000    ss    2    400002,350          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayAVLTreeSet                 100    ss    2      2622,200          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayAVLTreeSet                1000    ss    2     12547,750          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayAVLTreeSet               10000    ss    2     69208,400          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayArrayList                  100    ss    2       616,550          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayArrayList                 1000    ss    2      2168,700          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayArrayList                10000    ss    2     19505,400          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayArraySet                   100    ss    2       434,550          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayArraySet                  1000    ss    2      2074,800          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayArraySet                 10000    ss    2     19618,950          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayLinkedSet                  100    ss    2      2086,700          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayLinkedSet                 1000    ss    2     10629,900          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayLinkedSet                10000    ss    2     47543,450          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayRBTreeSet                  100    ss    2      2579,700          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayRBTreeSet                 1000    ss    2     12590,400          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArrayRBTreeSet                10000    ss    2     66743,800          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArraySet                        100    ss    2      3185,100          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArraySet                       1000    ss    2     12983,500          us/op
impl.fastutil.FastUtilReadCollectionBenchmarks.toArraySet                      10000    ss    2     77625,900          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneAVLMap                              100    ss    2      5110,650          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneAVLMap                             1000    ss    2     29261,450          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneAVLMap                            10000    ss    2    150803,100          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneArrayMap                            100    ss    2      1049,450          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneArrayMap                           1000    ss    2      6583,650          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneArrayMap                          10000    ss    2     60321,100          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneLinkedMap                           100    ss    2      3412,750          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneLinkedMap                          1000    ss    2     20032,800          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneLinkedMap                         10000    ss    2     95061,200          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneMap                                 100    ss    2      2373,000          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneMap                                1000    ss    2     12936,700          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneMap                               10000    ss    2     73809,350          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneRBTreeMap                           100    ss    2      5110,650          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneRBTreeMap                          1000    ss    2     30405,100          us/op
impl.fastutil.FastUtilReadMapBenchmarks.cloneRBTreeMap                         10000    ss    2    150626,750          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyAVLTreeMap                    100    ss    2      3516,150          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyAVLTreeMap                   1000    ss    2      4835,850          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyAVLTreeMap                  10000    ss    2      9783,850          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyArrayMap                      100    ss    2      8042,750          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyArrayMap                     1000    ss    2     44917,900          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyArrayMap                    10000    ss    2    385179,900          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyLinkedMap                     100    ss    2      2273,450          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyLinkedMap                    1000    ss    2      2230,350          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyLinkedMap                   10000    ss    2      2403,350          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyMap                           100    ss    2      2025,750          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyMap                          1000    ss    2      1892,650          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyMap                         10000    ss    2      2459,000          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyRBTreeMap                     100    ss    2      3941,650          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyRBTreeMap                    1000    ss    2      5100,100          us/op
impl.fastutil.FastUtilReadMapBenchmarks.containsKeyRBTreeMap                   10000    ss    2      8468,300          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachAVLTreeMap                        100    ss    2      5361,800          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachAVLTreeMap                       1000    ss    2     26211,800          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachAVLTreeMap                      10000    ss    2    172671,300          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachArrayMap                          100    ss    2      5235,100          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachArrayMap                         1000    ss    2     32617,950          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachArrayMap                        10000    ss    2    176635,200          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachLinkedMap                         100    ss    2      5572,900          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachLinkedMap                        1000    ss    2     23427,850          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachLinkedMap                       10000    ss    2    155480,800          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachMap                               100    ss    2      4742,850          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachMap                              1000    ss    2     27716,700          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachMap                             10000    ss    2    202050,250          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachRBTreeMap                         100    ss    2      6553,700          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachRBTreeMap                        1000    ss    2     29363,550          us/op
impl.fastutil.FastUtilReadMapBenchmarks.forEachRBTreeMap                       10000    ss    2    200727,950          us/op
